title,url,description,motscles,lieu,type,organization,statut,id,frequency,license,temporal_coverage.start,temporal_coverage.end,created_at,last_modified,quality_score,metric.reuses,metric.followers
Entrées répertoriées aux archives communautaires de Marne et Chantereine depuis 2010,http://www.data.gouv.fr/fr/datasets/entrees-repertoriees-aux-archives-communautaires-de-marne-et-chantereine-depuis-2010/,"Ce registre des entrées d'archives se conforme au schéma de données opendata consultable [à cette page](https://schema.data.gouv.fr/Archivistes75/registre_entrees/0.2.0/). Propriété | Contenu | Type | Obligatoire  
---|---|---|---  
ID | Identifiant unique de chaque entrée | chaîne de caractères | Oui  
nomArch | Nom du service archives | chaîne de caractères | Oui  
coteArch | Cotation | chaîne de caractères | Non  
dateEntree | Date d'entrée | date | Oui  
statutJur | Nature juridique des documents entrés | chaîne de caractères | Oui  
modeEntree | Modalité d'entrée | chaîne de caractères | Oui  
orgaVers | Organisation qui verse l'entrée | chaîne de caractères | Non  
servVers | Service qui verse l'entrée | chaîne de caractères | Non  
orgaProducteur | Organisation productrice de l'entrée | chaîne de caractères | Non  
servProd | Service producteur | chaîne de caractères | Oui  
typeProd | Fonction du producteur | chaîne de caractères | Oui  
activiteProd | Domaine ou thématique d'action du producteur | chaîne de caractères | Oui  
descContenu | Description du contenu | chaîne de caractères | Oui  
datesExD | Date extrême de début | année | Non  
datesExF | Date extrême de fin | année | Non  
natureSupport | Nature du support matériel des documents | chaîne de caractères | Oui  
mlEntree | Métrage linéaire de l'entrée | nombre réel | Non  
nbreArt | Nombre d'articles | nombre réel | Non  
volElec | Volume d'archives électroniques de l'entrée | nombre réel | Non  
objElec | Nombre d'objets électroniques | nombre réel | Non",AM | collecte,Seine-et-Marne,archives,Communauté d'agglomération Paris - Vallée de la Marne,dépublié,62d9e94b012b1758229ef260,annual,Licence Ouverte / Open Licence version 2.0,2010-01-01,2015-12-31,2022-07-21T00:00:00,2022-07-25T18:19:45.456000,1.00,0,0
Entrées répertoriées aux archives communautaires de Marne et Chantereine depuis 2010,http://www.data.gouv.fr/fr/datasets/entrees-repertoriees-aux-archives-communautaires-de-marne-et-chantereine-depuis-2010-2/,"Ce registre des entrées d'archives se conforme au schéma de données opendata consultable [à cette page](https://schema.data.gouv.fr/Archivistes75/registre_entrees/0.2.0/). Propriété | Contenu | Type | Obligatoire  
---|---|---|---  
ID | Identifiant unique de chaque entrée | chaîne de caractères | Oui  
nomArch | Nom du service archives | chaîne de caractères | Oui  
coteArch | Cotation | chaîne de caractères | Non  
dateEntree | Date d'entrée | date | Oui  
statutJur | Nature juridique des documents entrés | chaîne de caractères | Oui  
modeEntree | Modalité d'entrée | chaîne de caractères | Oui  
orgaVers | Organisation qui verse l'entrée | chaîne de caractères | Non  
servVers | Service qui verse l'entrée | chaîne de caractères | Non  
orgaProducteur | Organisation productrice de l'entrée | chaîne de caractères | Non  
servProd | Service producteur | chaîne de caractères | Oui  
typeProd | Fonction du producteur | chaîne de caractères | Oui  
activiteProd | Domaine ou thématique d'action du producteur | chaîne de caractères | Oui  
descContenu | Description du contenu | chaîne de caractères | Oui  
datesExD | Date extrême de début | année | Non  
datesExF | Date extrême de fin | année | Non  
natureSupport | Nature du support matériel des documents | chaîne de caractères | Oui  
mlEntree | Métrage linéaire de l'entrée | nombre réel | Non  
nbreArt | Nombre d'articles | nombre réel | Non  
volElec | Volume d'archives électroniques de l'entrée | nombre réel | Non  
objElec | Nombre d'objets électroniques | nombre réel | Non",AM | collecte,Seine-et-Marne,archives,Communauté d'agglomération Paris - Vallée de la Marne,dépublié,630025a1eedf7d90ec49e2d8,,Licence Ouverte / Open Licence version 2.0,,,2022-07-21T00:00:00,2022-07-21T00:00:00,0.44,0,0
Entrées répertoriées aux archives communautaires de Paris Vallée de la Marne depuis 2016,http://www.data.gouv.fr/fr/datasets/entrees-repertoriees-aux-archives-communautaires-de-paris-vallee-de-la-marne-depuis-2016-2/,"Ce registre des entrées d'archives se conforme au schéma de données opendata consultable [à cette page](https://schema.data.gouv.fr/Archivistes75/registre_entrees/0.2.0/). Propriété | Contenu | Type | Obligatoire  
---|---|---|---  
ID | Identifiant unique de chaque entrée | chaîne de caractères | Oui  
nomArch | Nom du service archives | chaîne de caractères | Oui  
coteArch | Cotation | chaîne de caractères | Non  
dateEntree | Date d'entrée | date | Oui  
statutJur | Nature juridique des documents entrés | chaîne de caractères | Oui  
modeEntree | Modalité d'entrée | chaîne de caractères | Oui  
orgaVers | Organisation qui verse l'entrée | chaîne de caractères | Non  
servVers | Service qui verse l'entrée | chaîne de caractères | Non  
orgaProducteur | Organisation productrice de l'entrée | chaîne de caractères | Non  
servProd | Service producteur | chaîne de caractères | Oui  
typeProd | Fonction du producteur | chaîne de caractères | Oui  
activiteProd | Domaine ou thématique d'action du producteur | chaîne de caractères | Oui  
descContenu | Description du contenu | chaîne de caractères | Oui  
datesExD | Date extrême de début | année | Non  
datesExF | Date extrême de fin | année | Non  
natureSupport | Nature du support matériel des documents | chaîne de caractères | Oui  
mlEntree | Métrage linéaire de l'entrée | nombre réel | Non  
nbreArt | Nombre d'articles | nombre réel | Non  
volElec | Volume d'archives électroniques de l'entrée | nombre réel | Non  
objElec | Nombre d'objets électroniques | nombre réel | Non",AM | collecte,Seine-et-Marne,archives,Communauté d'agglomération Paris - Vallée de la Marne,dépublié,630025a1189c8d3c7349e2d8,,Licence Ouverte / Open Licence version 2.0,,,2022-07-21T00:00:00,2022-07-21T00:00:00,0.44,0,0
Entrées répertoriées aux archives communautaires de la Brie francilienne depuis 2015,http://www.data.gouv.fr/fr/datasets/entrees-repertoriees-aux-archives-communautaires-de-la-brie-francilienne-depuis-2015-2/,"Ce registre des entrées d'archives se conforme au schéma de données opendata consultable [à cette page](https://schema.data.gouv.fr/Archivistes75/registre_entrees/0.2.0/). Propriété | Contenu | Type | Obligatoire  
---|---|---|---  
ID | Identifiant unique de chaque entrée | chaîne de caractères | Oui  
nomArch | Nom du service archives | chaîne de caractères | Oui  
coteArch | Cotation | chaîne de caractères | Non  
dateEntree | Date d'entrée | date | Oui  
statutJur | Nature juridique des documents entrés | chaîne de caractères | Oui  
modeEntree | Modalité d'entrée | chaîne de caractères | Oui  
orgaVers | Organisation qui verse l'entrée | chaîne de caractères | Non  
servVers | Service qui verse l'entrée | chaîne de caractères | Non  
orgaProducteur | Organisation productrice de l'entrée | chaîne de caractères | Non  
servProd | Service producteur | chaîne de caractères | Oui  
typeProd | Fonction du producteur | chaîne de caractères | Oui  
activiteProd | Domaine ou thématique d'action du producteur | chaîne de caractères | Oui  
descContenu | Description du contenu | chaîne de caractères | Oui  
datesExD | Date extrême de début | année | Non  
datesExF | Date extrême de fin | année | Non  
natureSupport | Nature du support matériel des documents | chaîne de caractères | Oui  
mlEntree | Métrage linéaire de l'entrée | nombre réel | Non  
nbreArt | Nombre d'articles | nombre réel | Non  
volElec | Volume d'archives électroniques de l'entrée | nombre réel | Non  
objElec | Nombre d'objets électroniques | nombre réel | Non",AM | collecte,Seine-et-Marne,archives,Communauté d'agglomération Paris - Vallée de la Marne,dépublié,630025a2189c8d3c7349e2d9,,Licence Ouverte / Open Licence version 2.0,,,2022-07-21T00:00:00,2022-07-21T00:00:00,0.44,0,0
Entrées répertoriées aux archives communautaires de Val Maubuée depuis 1994,http://www.data.gouv.fr/fr/datasets/entrees-repertoriees-aux-archives-communautaires-de-val-maubuee-depuis-1994-2/,"Ce registre des entrées d'archives se conforme au schéma de données opendata consultable [à cette page](https://schema.data.gouv.fr/Archivistes75/registre_entrees/0.2.0/). Propriété | Contenu | Type | Obligatoire  
---|---|---|---  
ID | Identifiant unique de chaque entrée | chaîne de caractères | Oui  
nomArch | Nom du service archives | chaîne de caractères | Oui  
coteArch | Cotation | chaîne de caractères | Non  
dateEntree | Date d'entrée | date | Oui  
statutJur | Nature juridique des documents entrés | chaîne de caractères | Oui  
modeEntree | Modalité d'entrée | chaîne de caractères | Oui  
orgaVers | Organisation qui verse l'entrée | chaîne de caractères | Non  
servVers | Service qui verse l'entrée | chaîne de caractères | Non  
orgaProducteur | Organisation productrice de l'entrée | chaîne de caractères | Non  
servProd | Service producteur | chaîne de caractères | Oui  
typeProd | Fonction du producteur | chaîne de caractères | Oui  
activiteProd | Domaine ou thématique d'action du producteur | chaîne de caractères | Oui  
descContenu | Description du contenu | chaîne de caractères | Oui  
datesExD | Date extrême de début | année | Non  
datesExF | Date extrême de fin | année | Non  
natureSupport | Nature du support matériel des documents | chaîne de caractères | Oui  
mlEntree | Métrage linéaire de l'entrée | nombre réel | Non  
nbreArt | Nombre d'articles | nombre réel | Non  
volElec | Volume d'archives électroniques de l'entrée | nombre réel | Non  
objElec | Nombre d'objets électroniques | nombre réel | Non",AM | collecte,Seine-et-Marne,archives,Communauté d'agglomération Paris - Vallée de la Marne,dépublié,630025a292db5ad47a9c0166,,Licence Ouverte / Open Licence version 2.0,,,2022-07-21T00:00:00,2022-07-21T00:00:00,0.44,0,0
Assemblage des feuilles du cadastre napoléonien en Bretagne,http://www.data.gouv.fr/fr/datasets/assemblage-des-feuilles-du-cadastre-napoleonien-en-bretagne-1/,"Assemblage des contours des feuilles du cadastre napoléonien de Bretagne. Le cadastre napoléonien a été institué en France par la loi du 15 septembre 1807 sous le règne de Napoléon 1er. Parmi les informations rattachées à chaque feuille,  on trouvera : le code département, le code insee de la commune actuelle et éventuellement l'ancien code insee, le numéro de la feuille, les numéros minimum et maximum des parcelles contenues dans la feuille ainsi que l'url d'accès à la feuille elle-même sur le site du service des archives départementales concerné.
N.B. : Pour l'Ille-et-Vilaine, il faut au préalable ouvrir le site des archives départementales(http://archives-en-ligne.ille-et-vilaine.fr/thot_internet/FrmSommaireFrame.asp). Pour les Côtes d'Armor, il est nécessaire d'installer Microsoft SilverLight.",AD | cadastre | histoire,Côtes-d'Armor | Finistère | Ille-et-Vilaine | Morbihan,archives,Région Bretagne,publié,62c3fd294d4deb8d7f538378,,License Not Specified,,,2022-07-05T10:58:17.520000,2022-07-05T10:58:17.520000,0.44,0,0
Tableau d'assemblage des feuilles du cadastre napoléonien en Bretagne par communes,http://www.data.gouv.fr/fr/datasets/tableau-dassemblage-des-feuilles-du-cadastre-napoleonien-en-bretagne-par-communes-1/,"Tableau d'assemblage des contours des feuilles du cadastre napoléonien de Bretagne par commune. Avec l'évolution des communes, les trous s'expliquent par les changements au niveau des codes insee.

Le cadastre napoléonien a été institué en France par la loi du 15 septembre 1807 sous le règne de Napoléon 1er. Pour chaque commune, un lien permet d'afficher le tableau d'assemblage de la commune.",AD | cadastre | histoire,Côtes-d'Armor | Finistère | Ille-et-Vilaine | Morbihan,archives,Région Bretagne,publié,62c3fd22151a60a3dba1f84d,,License Not Specified,,,2022-07-05T10:58:10.290000,2022-07-05T10:58:10.290000,0.44,0,0
Déplacements des présidents de la République et des premiers ministres depuis 1945,http://www.data.gouv.fr/fr/datasets/deplacements-des-presidents-de-la-republique-et-des-premiers-ministres-depuis-1945/,"Le service des voyages officiels, placé sous l'autorité de la direction générale de la Police nationale, s'occupe des mesures de sécurité autour du Président de la République et des hautes personnalités françaises, ainsi que de l'organisation des déplacements officiels. Les dossiers d'archives produits dans le cadre de ces missions sont conservés aux Archives nationales. Les différents inventaires détaillés ont permis d'établir une liste chronologique structurée et détaillée des déplacements des présidents de la République et des premiers ministres depuis 1945.   


Cette liste de plus de 2400 déplacements en France et à l'étranger ne prétend pas à l'exhaustivité, mais plutôt offrir un panorama géographique et chronologique assez riche. Sont ainsi accessibles :  


  * pour le Président de la République : 1114 déplacements, 65 pays, pour la période 1945-2006 ;  

  * pour le Premier ministre : 1292 déplacements, 114 pays, pour la période 1964-2008.  




Le jeu de données mis à disposition est constitué des informations suivantes :

  * Fonction : Président de la République ou Premier ministre ;  

  * Individu ;  

  * Lieu : d'après le contenu de l'inventaire initial ;  

  * Lieu normalisé : département ou région pour la France ;  

  * Pays ;  

  * Date de début ; 
  * Date de fin ;  

  * URL(s) de la notice ;  

  * Cote(s) ;  

  * Contenu initial de l'inventaire : ce champ peut permettre d'avoir des compléments d'informations sur le type de déplacement, les différentes étapes d'un voyage (notamment à l'étranger), voire la mention de photographies.  




Un accès cartographique est proposé ici, basé sur les contours de la colonne _lieu normalisé_ (sources principales utilisées : [opendatasoft](https://public.opendatasoft.com/) et [angelodlfrtr](https://gist.github.com/angelodlfrtr/cf39d7db97c335f87d22)).

Les dossiers d'archives du service des voyages officiels consultables aux Archives nationales sont généralement constitués des pièces suivantes : programme détaillé du déplacement (parfois brochure imprimée), ordre des voitures officielles, plan de tables, notes et correspondance relatives à la sécurité, coupures de presse. Ces données sont à compléter avec les archives des services photographiques de la Présidence de la République et du Premier ministre, en partie numérisées :

  * [reportages photographies des chefs de l'État et des présidents de la République (1938-1959)](https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_050658) ;  

  * [reportages photographiques de la présidence de Charles de Gaulle](https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_054722) ;  

  * [reportages photographiques de la présidence de Georges Pompidou](https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_055457) ;  

  * [service photographique du Premier ministre](https://www.siv.archives-nationales.culture.gouv.fr/siv/NP/FRAN_NP_000141).  




Les données seront mises à jour lors des versements d'archives ultérieurs du service des voyages officiels.",AN | histoire,Monde,archives,Ministère de la Culture,publié,62ba7ce5f275fa925aa1f848,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-06-28T06:00:37.543000,2022-06-27T12:53:11,0.56,0,3
Tombes militaires de 1870-1871,http://www.data.gouv.fr/fr/datasets/tombes-militaires-de-1870-1871/,"La loi du 4 avril 1873 ""relative à la conservation des tombes des soldats morts pendant la dernière guerre"" (c'est-à-dire la [guerre franco-allemande de 1870](https://fr.wikipedia.org/wiki/Guerre_franco-allemande_de_1870)) permet à l’État français d'acheter des parcelles de cimetières communaux ou d'exproprier des particuliers afin d'aménager des tombes pour les restes des soldats français et allemands.

Les Archives nationales conservent les dossiers d'établissement de ces tombes militaires à la fin du 19e siècle. Classés par commune, ils comportent les pièces suivantes : arrêté municipal instituant la ou les tombe(s) militaire(s), plan de l'emplacement des sépultures, pièces financières relatives aux travaux d'entourage des tombes, frais d'exhumation et ré-inhumation des corps, correspondance. Certains plans mentionnent le nombre de soldats inhumés, voire certains noms ou caractéristiques vestimentaires.  


Le jeu de données mis à disposition recense l'ensemble des dossiers de communes conservés aux Archives nationales. Un certain nombre de ces tombes et sépultures ont aujourd'hui disparu. Lorsque cela a été possible, un lien vers la base de données [Monuments aux morts](https://monumentsmorts.univ-lille.fr/) a été créé.",AN | histoire,France,archives,Ministère de la Culture,publié,62b6885976485f1b15a1f84a,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-06-25T06:00:25.142000,2022-06-24T16:50:56,0.56,0,0
Moulins et meuniers en 1801,http://www.data.gouv.fr/fr/datasets/moulins-et-meuniers-en-1801/,"Trois enquêtes sur les moulins à farine sont diligentées par l'Etat entre l'an II (1794) et 1809. L'enquête de l'an X (1801) concerne plus spécifiquement l'approvisionnement de Paris. Les réponses comportent, en plus des informations économiques et statistiques attendues, la liste des meuniers. Cette enquête ne concerne que 8 départements (Aisne, Eure, Eure-et-Loir, Loiret, Marne, Oise, Seine, Seine-et-Marne et Seine-et-Oise), représentant tout de même 5157 moulins.  
  
Le jeu de données mis à disposition est issu d'un index nominatif élaboré dans les années 1990 par M. Illaire ([consultable en ligne](https://www.siv.archives-nationales.culture.gouv.fr/siv/IR/FRAN_IR_058838)). Sont répertoriées, pour chaque moulin, les informations suivantes : 

  * nom du meunier ;
  * prénom du meunier (le cas échéant) ;  

  * commune d'exercice ;
  * département ;  

  * type de moulin (à eau ou à vent) ;  

  * nom du moulin ;
  * observations éventuelles ;
  * URL de la notice sur le portail des Archives nationales ;
  * cote.



Un meunier pouvant être propriétaire de plusieurs moulins, un individu peut avoir plusieurs entrées.",AN | histoire,France,archives,Ministère de la Culture,publié,62b6885766e6c0f18fa1f849,unknown,Licence Ouverte / Open Licence version 2.0,,,2022-06-25T06:00:23.644000,2022-06-24T16:11:14,0.56,0,0
